n_universo,k_value,tiempo_(micro_segundos),iteracion,cantidad_valores_en_arreglo
13,4,6,1,100000000
13,5,4,1,100000000
13,6,4,1,100000000
13,7,4,1,100000000
13,8,3,1,100000000
13,9,3,1,100000000
13,10,2,1,100000000
13,11,2,1,100000000
13,12,2,1,100000000
13,13,2,1,100000000
13,14,2,1,100000000
13,1,40,2,100000000
13,2,14,2,100000000
13,3,75,2,100000000
13,4,6,2,100000000
13,5,5,2,100000000
13,6,4,2,100000000
13,7,4,2,100000000
13,8,3,2,100000000
13,9,3,2,100000000
13,10,2,2,100000000
13,11,2,2,100000000
13,12,3,2,100000000
13,13,2,2,100000000
13,14,2,2,100000000
13,1,26,3,100000000
13,2,11,3,100000000
13,3,7,3,100000000
13,4,5,3,100000000
13,5,4,3,100000000
13,6,4,3,100000000
13,7,3,3,100000000
13,8,3,3,100000000
13,9,37,3,100000000
13,10,3,3,100000000
13,11,2,3,100000000
13,12,2,3,100000000
13,13,2,3,100000000
13,14,2,3,100000000
13,1,26,4,100000000
13,2,11,4,100000000
13,3,8,4,100000000
13,4,5,4,100000000
13,5,4,4,100000000
13,6,4,4,100000000
13,7,3,4,100000000
13,8,3,4,100000000
13,9,3,4,100000000
13,10,23,4,100000000
13,11,2,4,100000000
13,12,2,4,100000000
13,13,2,4,100000000
13,14,2,4,100000000
13,1,27,5,100000000
13,2,12,5,100000000
13,3,8,5,100000000
13,4,6,5,100000000
13,5,5,5,100000000
13,6,22,5,100000000
13,7,5,5,100000000
13,8,35,5,100000000
13,9,42,5,100000000
13,10,25,5,100000000
13,11,3,5,100000000
13,12,3,5,100000000
13,13,3,5,100000000
13,14,2,5,100000000
13,1,43,6,100000000
13,2,12,6,100000000
13,3,8,6,100000000
13,4,6,6,100000000
13,5,5,6,100000000
13,6,4,6,100000000
13,7,4,6,100000000
13,8,3,6,100000000
13,9,3,6,100000000
13,10,3,6,100000000
13,11,2,6,100000000
13,12,2,6,100000000
13,13,2,6,100000000
13,14,2,6,100000000
13,1,37,7,100000000
13,2,23,7,100000000
13,3,9,7,100000000
13,4,7,7,100000000
13,5,6,7,100000000
13,6,5,7,100000000
13,7,4,7,100000000
13,8,3,7,100000000
13,9,4,7,100000000
13,10,3,7,100000000
13,11,2,7,100000000
13,12,3,7,100000000
13,13,2,7,100000000
13,14,2,7,100000000
13,1,30,8,100000000
13,2,13,8,100000000
13,3,9,8,100000000
13,4,6,8,100000000
13,5,5,8,100000000
13,6,4,8,100000000
13,7,4,8,100000000
13,8,3,8,100000000
13,9,3,8,100000000
13,10,3,8,100000000
13,11,2,8,100000000
13,12,3,8,100000000
13,13,2,8,100000000
13,14,2,8,100000000
13,1,26,9,100000000
13,2,11,9,100000000
13,3,7,9,100000000
13,4,23,9,100000000
13,5,5,9,100000000
13,6,4,9,100000000
13,7,4,9,100000000
13,8,3,9,100000000
13,9,3,9,100000000
13,10,3,9,100000000
13,11,2,9,100000000
13,12,2,9,100000000
13,13,2,9,100000000
13,14,2,9,100000000
13,1,25,10,100000000
13,2,11,10,100000000
13,3,7,10,100000000
13,4,6,10,100000000
13,5,4,10,100000000
13,6,4,10,100000000
13,7,3,10,100000000
13,8,45,10,100000000
13,9,3,10,100000000
13,10,3,10,100000000
13,11,2,10,100000000
13,12,2,10,100000000
13,13,2,10,100000000
13,14,2,10,100000000
14,1,26,1,100000000
14,2,11,1,100000000
14,3,8,1,100000000
14,4,6,1,100000000
14,5,4,1,100000000
14,6,38,1,100000000
14,7,4,1,100000000
14,8,3,1,100000000
14,9,3,1,100000000
14,10,3,1,100000000
14,11,2,1,100000000
14,12,2,1,100000000
14,13,2,1,100000000
14,14,2,1,100000000
14,15,2,1,100000000
14,1,231,2,100000000
14,2,13,2,100000000
14,3,9,2,100000000
14,4,99,2,100000000
14,5,5,2,100000000
14,6,5,2,100000000
14,7,4,2,100000000
14,8,3,2,100000000
14,9,3,2,100000000
14,10,3,2,100000000
14,11,2,2,100000000
14,12,2,2,100000000
14,13,2,2,100000000
14,14,2,2,100000000
14,15,2,2,100000000
14,1,25,3,100000000
14,2,11,3,100000000
14,3,8,3,100000000
14,4,5,3,100000000
14,5,4,3,100000000
14,6,41,3,100000000
14,7,4,3,100000000
14,8,3,3,100000000
14,9,49,3,100000000
14,10,51,3,100000000
14,11,3,3,100000000
14,12,3,3,100000000
14,13,2,3,100000000
14,14,3,3,100000000
14,15,3,3,100000000
14,1,25,4,100000000
14,2,11,4,100000000
14,3,7,4,100000000
14,4,5,4,100000000
14,5,4,4,100000000
14,6,4,4,100000000
14,7,3,4,100000000
14,8,3,4,100000000
14,9,3,4,100000000
14,10,3,4,100000000
14,11,2,4,100000000
14,12,2,4,100000000
14,13,2,4,100000000
14,14,2,4,100000000
14,15,2,4,100000000
14,1,45,5,100000000
14,2,19,5,100000000
14,3,13,5,100000000
14,4,16,5,100000000
14,5,7,5,100000000
14,6,6,5,100000000
14,7,5,5,100000000
14,8,4,5,100000000
14,9,4,5,100000000
14,10,3,5,100000000
14,11,3,5,100000000
14,12,3,5,100000000
14,13,3,5,100000000
14,14,2,5,100000000
14,15,3,5,100000000
14,1,25,6,100000000
14,2,11,6,100000000
14,3,7,6,100000000
14,4,5,6,100000000
14,5,4,6,100000000
14,6,4,6,100000000
14,7,3,6,100000000
14,8,3,6,100000000
14,9,21,6,100000000
14,10,3,6,100000000
14,11,2,6,100000000
14,12,2,6,100000000
14,13,2,6,100000000
14,14,2,6,100000000
14,15,2,6,100000000
14,1,35,7,100000000
14,2,12,7,100000000
14,3,8,7,100000000
14,4,6,7,100000000
14,5,5,7,100000000
14,6,4,7,100000000
14,7,4,7,100000000
14,8,3,7,100000000
14,9,3,7,100000000
14,10,3,7,100000000
